,Address,Price,Beds,Baths,Half-baths
0,6108WildBuffaloFoothillBlvd.,"$184,900",3,3,1
1,2401LittleMoonTrail,"$179,900",3,2,1
2,1307W2ndSt,"$139,000",3,1,
3,344PStreet,"$245,000",3,1,1
4,420Soulsby,"$225,000",5,1,1
5,1014PilotButteAve,Ask,2,1,
6,,,,,
